term,term_lemma,familiarity_score
Library Ordinance,library ordinance,1.0
Library Services and Technology Act,library service and technology act,1.7
Library Technical Services Study Group,library technical services study group,2.125
Library of Congress,library of congress,1.0
Library of Congress Classification,library of congress classification,2.0
Library of Congress Subject Headings,library of congress subject heading,1.0
Lotka's law,lotka 's law,1.5
MARC format,marc format,3.0
MARC record,marc record,2.5
Mamiya Fujio,mamiya fujio,3.0
Management of Public Libraries in Medium and Small Cities,management of public library in medium and small city,1.6666666666666667
MeSH,mesh,6.0
Medical Subject Headings,medical subject heading,1.5
Metadata Encoding and Transmission Standard,metadata encoding and transmission standard,2.8333333333333335
Metadata Object Description Schema,metadata object description schema,2.75
Ming edition,ming edition,3.0
Mission and Objectives of Public Library,mission and objective of public library,2.0
Mita Society for Library and Information Science,mita society for library and information science,1.25
Momijiyama-bunko,momijiyama - bunko,3.0
Mori Kiyoshi,mori kiyoshi,3.0
Museum Law,museum law,2.0
Music Library Association of Japan,music library association of japan,1.25
NCLIS,nclis,3.0
NCR,ncr,3.0
NDC,ndc,3.0
NDLC,ndlc,3.0
NDLSH,ndlsh,3.0
NII-NACSIS Test Collection for IR Systems,nii - nacsis test collection for ir system,1.75
NPAC,npac,3.0
Nakai Masakazu,nakai masakazu,3.0
National Agricultural Library,national agricultural library,2.0
National Commission on Libraries and Information Science,national commission on library and information science,1.8142857142857143
National Diet Library,national diet library,1.6666666666666667
National Diet Library Classification,national diet library classification,2.25
National Diet Library Law,national diet library law,1.75
National Diet Library Subject Headings,national diet library subject heading,1.5
National Information System for Science and Technology,national information system for science and technology,1.3571428571428572
National Institute of Informatics,national institute of informatic,2.3333333333333335
National Library of Medicine,national library of medicine,1.25
National Program for Acquisitions and Cataloging,national program for acquisition and catalog,2.125
New York Public Library,new york public library,1.5
Newark charging system,newark charge system,2.5
Nippon Association for Librarianship,nippon association for librarianship,1.75
Nippon Cataloging Rules,nippon catalog rule,2.5
Nippon Decimal Classification,nippon decimal classification,4.0
